Run!	Chạy!
I can't stand her jealousy.	Tôi không chịu được sự ghen ghét đố kỵ của cô ta.
I didn't have enough proof.	Tôi đã không có đủ bằng chứng.
I didn't want to interrupt.	Tôi không muốn làm gián đoạn.
I don't know what you mean.	Tôi không biết ý của bạn là gì.
I don't know what you mean.	tôi không biết ý của bạn
I don't think Tom did this.	Tôi không nghĩ Tom đã làm chuyện này.
I don't think Tom did this.	Tôi không nghĩ là Tom đã làm việc này đâu.
I don't think she is happy.	Tôi nghĩ là cô ấy không hạnh phúc.
I don't think she is happy.	Tôi không nghĩ cô ấy hạnh phúc.
I don't want to go to jail.	Tôi không muốn vào tù.
I don't want to move again.	Tớ không muốn chuyển chỗ nữa.
I forgot your phone number.	Tôi đã quên mất số điện thoại của bạn rồi.
I got a good night's sleep.	Tôi đã có một giấc ngủ ngon.
I have nothing more to say.	Tôi không còn gì để nói nữa.
I hope they prove me wrong.	Tôi hy vọng là họ sẽ chứng minh tôi sai.
I just feel a little dizzy.	Tôi chỉ thấy hơi chóng mặt một tí.
I know Tom isn't in Boston.	Tôi biết Tom không ở Boston.
I know what Tom's thinking.	Tôi biết Tom đang nghĩ gì.
I know you've got a secret.	Tôi biết là bạn có một bí mật.
I learned a new word today.	Hôm nay tôi đã học được một từ mới.
I like seeing you this way.	Tôi thích thấy em như vậy.
I like to go to the movies.	Tôi thích đi xem phim.
I need to know before 2:30.	Tôi cần biết trước 2:30.
I read a book while eating.	Tôi đọc sách lúc ăn cơm.
I remember seeing her once.	Tôi nhớ trước đây đã có lần gặp cô ấy.
I remember seeing him once.	Tôi nhớ trước đây đã có lần gặp anh ấy.
I should have come earlier.	Đáng lẽ ra tôi nên đến sớm hơn mới phải.
I think I can arrange that.	Tôi nghĩ tôi có thể sắp xếp việc đó.
I think that she will come.	Tôi nghĩ rằng cô ta sẽ tới.
I want to change the world.	Tôi muốn thay đổi thế giới.
I warned him of the danger.	Tôi đã cảnh báo anh ta về nguy hiểm.
I was hoping you'd tell me.	Tôi đã hy vọng bạn sẽ nói với tôi.
I wish I could go to Japan.	tôi ước tôi có thể tới nhật bản
I would like to buy a sofa.	Tôi muốn mua một chiếc ghế sô-pha.
I'd like to give it to Tom.	Tôi muốn đưa nó cho Tom.
I'd like to study in Paris.	Tôi muốn đi du học ở Paris.
I'll be busy all afternoon.	Tôi sẽ bận suốt từ trưa.
I'll fire Tom if I have to.	Tôi sẽ sa thải Tom nếu tình huống bắt buộc.
I'll never ever forget you.	Em sẽ không bao giờ quên anh.
I'll never trust Tom again.	Tôi sẽ không bao giờ tin Tom thêm lần nào nữa.
I'll never trust Tom again.	Tôi sẽ không tin Tom thêm lần nào nữa đâu.
I'm afraid Tom will say no.	Tôi e là Tom sẽ nói không.
I'm afraid Tom will say no.	Tôi sợ là Tom sẽ nói không.
I'm going to call for help.	Tôi sẽ đi gọi giúp đỡ.
I'm not as stubborn as Tom.	Tôi không ngoan cố như Tom.
I'm occupied at the moment.	Hiện tôi đang bận.
I'm occupied at the moment.	Bây giờ, tôi đang bận.
I'm sorry I frightened you.	Xin lỗi vì đã làm bạn sợ.
I'm sorry I frightened you.	Tôi xin lỗi vì đã làm bạn sợ hãi.
I'm studying French online.	Tôi đang học tiếng Pháp online.
I'm sure you'll understand.	Tôi chắc là bạn sẽ hiểu.
I've changed my mind again.	Tôi đã đổi ý thêm lần nữa.
I've changed my mind again.	Tôi đã thay đổi suy nghĩ thêm lần nữa.
I've decided not to appeal.	Tôi đã quyết định không chống án.
I've forgotten your number.	Tôi đã quên mất số điện thoại của bạn rồi.
I've got friends in Boston.	Tôi mới có bạn ở Boston.
Is it hard to learn French?	Học tiếng Pháp có khó không?
Is that just a coincidence?	Đó có đơn giản chỉ là một sự trùng hợp ngẫu nhiên hay không?
Is there a pen on the desk?	Có một chiếc bút trên bàn phải không?
Is this your tape recorder?	Đây là máy ghi âm dùng băng của bạn?
Is this your tape recorder?	Đây là máy ghi âm của bạn?
Isn't Tom having breakfast?	Tom ăn sáng chưa?
It seems interesting to me.	Nó có vể thú vị với tôi.
It's always been like that.	Nó luôn luôn như vậy.
It's easier said than done.	Nói thì dễ làm mới khó.
It's raining cats and dogs.	Trời đang mưa như trút nước vậy.
It's too late to apologize.	Bây giờ xin lỗi thì cũng đã quá muộn rồi.
Let's pretend we're aliens.	Hãy coi như chúng ta là người ngoài hành tinh.
Let's pretend we're aliens.	Hãy coi như chúng ta là người xa lạ.
Let's put this in the safe.	Chúng ta hãy cất cái này vào trong két đi.
Luckily, I won first prize.	Thật may mắn, tôi đã chiến thắng giải nhất.
Many people like to travel.	Nhiều người thích đi du lịch.
Mary died of breast cancer.	Mary qua đời do bị ung thư vú.
Mary died of breast cancer.	Mary đã qua đời do căn bệnh ung thư vú.
Mary is a very pretty girl.	Mary là một cô gái rất xinh xắn.
My mother is seriously ill.	Mẹ mình đang ốm nặng.
My prediction was accurate.	Dự đoán của tôi đã chính xác.
No one expected Tom to win.	Chẳng ai ngờ rằng Tom sẽ thắng.
Nobody believes what I say.	Chả ai tin những gì tôi nói cả.
One of you has to go there.	Một trong các bạn phải đi tới đó.
One of you has to go there.	Một trong các bạn phải đi đến nơi đó.
Outsiders make Tom nervous.	Người lạ khiến Tom bối rối
Pack your things and leave.	Thu dọn đồ đạc rồi đi đi.
Perhaps Tom won't buy that.	Có lẽ Tom sẽ không mua thứ đó đâu.
Please don't speak so fast.	Xin đừng nói nhanh như vậy.
Please just leave me alone.	Tao xin mày đấy, hãy để tao một mình đi.
She allegedly murdered him.	Cô ấy bị cáo buộc giết anh ta.
She can't cope with stress.	Cô ấy không thể đương đầu với căng thẳng.
She left just as I arrived.	Nó vừa rời khỏi khi tôi đến.
She left just as I arrived.	Cô ấy vừa rời khỏi khi tôi đến.
She liked poetry and music.	Cô ấy thích thơ và nhạc.
Should I call an ambulance?	Tôi có nên gọi xe cấp cứu không?
Stars can be seen at night.	Những ngôi sao có thể nhìn thấy vào buổi tối.
Stars can be seen at night.	Những ngôi sao có thể nhìn thấy vào ban đêm.
The house has three floors.	Căn nhà có 3 tầng.
The silver is on the table.	Bạc ở trên bàn
The water has been cut off.	Nước bị cắt rồi.
The whole world knows that.	Cả thế thới đều biết.
There can be no compromise.	Không thể có sự thỏa hiệp nào.
There's a party after work.	Sẽ có một buổi tiệc khi hết giờ làm việc.
There's no need to explain.	Không cần giải thích.
They discussed the problem.	Họ đã thảo luận vấn đề đó.
They discussed the problem.	Họ đã thảo luận về vấn đề đó.
They got through the marsh.	Họ đã đi qua đầm lầy.
Things will only get worse.	Mọi thứ sẽ chỉ xấu đi hơn mà thôi.
This is a book about stars.	Đây là quyển sách về những vì sao.
This is a book about stars.	Đây là quyển sách về những ngôi sao.
This is a waterproof watch.	Đây là đồng hồ chống vô nước.
This is never going to end.	Điều này sẽ không bao giờ chấm dứt.
This is never going to end.	Điều này sẽ chẳng bao giờ kết thúc.
This is never going to end.	điều này sẽ không bao giờ kết thúc
This is unacceptable to us.	Điều này không thể chấp nhận được với chúng tôi.
This is very, very unusual.	Điều này rất rất không bình thường.
Tom climbed up to the roof.	Tom đã trèo lên mái nhà.
Tom climbed up to the roof.	Tom trèo lên mái nhà.
Tom collapsed on the floor.	Tom ngã gục xuống sàn.
Tom decided to go barefoot.	Tom quyết định đi chân trần.
Tom denied all the charges.	Tom chối bỏ mọi lời cáo buộc.
Tom didn't apologize to me.	Tom đã không xin lỗi tôi.
Tom gave his old car to me.	Tom cho tôi chiếc ô tô cũ của anh ấy.
Tom gave something to Mary.	Tom đã đưa cái gì đó cho Mary.
Tom got married to a widow.	Tom kết hôn với một góa phụ.
Tom got married to a widow.	Tom kết hôn với một người góa phụ.
Tom handed Mary the pencil.	Tom đưa cái bút chì đó cho Mary.
Tom handed Mary the pencil.	Tom đã đưa cho Mary cái bút chì đó.
Tom immediately called 911.	Tom ngay lập tức gọi số 911.
Tom immediately called 911.	Tom đã ngay lập tức gọi điện thoại đến số 911.
Tom is an excellent father.	Tom là một người cha tuyệt vời.
Tom is dressed very nicely.	Tom mặc rất đẹp.
Tom is hardly ever at home.	Tom rất ít khi ở nhà.
Tom is on trial for murder.	Tom đang âm mưu giết người.
Tom is taking a big chance.	Tom đang có một cơ hội lớn
Tom is watering the garden.	Tom đang tưới nước cho khu vườn.
Tom is young and energetic.	Tom trẻ trung và tràn đầy năng lượng.
Tom jumped out of his seat.	Tom nhảy ra khỏi ghế.
Tom made Mary wash his car.	Tom đã bắt Mary rửa xe của anh ấy.
Tom must've made a mistake.	Tom chắc hẳn đã phạm một sai lầm.
Tom must've made a mistake.	Chắc hẳn Tom đã phạm một sai lầm rồi.
Tom only eats organic food.	Tom chỉ ăn thực phẩm hữu cơ.
Tom painted the door white.	Tom sơn cửa màu trắng.
Tom passed away last night.	Tom đã mất vào tối qua.
Tom said you were sleeping.	Tom bảo bạn đang ngủ.
Tom saw blood on the floor.	Tom đã nhìn thấy máu trên lầu
Tom seems totally confused.	Tom có vẻ hoàn toàn bối rối.
Tom should hear about this.	Tom nên biết về chuyện này.
Tom spent a year in Boston.	Tom đã ở Boston trong 1 năm.
Tom stayed at a nice hotel.	Tom đã ở trong một khách sạn tốt.
Tom taught me how to drive.	Tom đã dạy tôi cách lái xe.
Tom taught me how to drive.	Tom đã dạy tôi cách lái ô tô.
Tom thinks he's invincible.	Tom nghĩ nó bất tử.
Tom thinks he's invincible.	Tom nghĩ rằng nó bất tử.
Tom wants us to follow him.	Tom muốn chúng ta đi theo anh ấy.
Tom was born in the winter.	Tom được sinh ra vào mùa đông.
Tom went to Boston in 2003.	Tom tới Boston năm 2003.
Tom will likely be furious.	Tom có lẽ sẽ tức điên lên.
Tom's a typical Englishman.	Tom là một người Anh điển hình.
Translating is very tiring.	Dịch thuật rất mệt mỏi.
Try to keep your eyes open.	Cố mở mắt nhé.
Try to keep your eyes open.	Cố giữ cho mắt cậu mở ra.
We already know you did it.	Chúng tôi đã biết bạn làm điều đó.
We can't compete with Asia.	Chúng ta chẳng thể nào đấu lại Châu Á đâu.
We got caught in the storm.	Chúng tôi bị mắc kẹt vì cơn bão.
We had a wonderful holiday.	Chúng tôi đã có một kỳ nghỉ tuyệt vời.
We have nothing to discuss.	Chúng ta chả có gì để mà thảo luận cả.
We need to have a contract.	Chúng tôi cần một bản hợp đồng.
We need to have a contract.	Chúng ta cần một bản hợp đồng.
We sat in complete silence.	Chúng tôi đã ngồi hoàn toàn im lặng.
We were running to and fro.	Chúng tôi đã chạy đi chạy lại.
We're in need of some food.	Chúng tôi cần một ít thức ăn.
What are you curious about?	Bạn đang tò mò về điều gì?
What are you talking about?	Bạn đang nói cái gì vậy?
What do you want Tom to do?	Bạn muốn Tom làm gì?
What else can you remember?	Bạn còn nhớ gì khác nữa không?
What languages do you know?	Mày biết những ngôn ngữ nào?
What time is it over there?	Ở đó bây giờ là mấy giờ?
What would you like to buy?	Anh muốn mua gì?
What would you like to eat?	Bạn muốn ăn gì?
What're you all looking at?	Bạn đang nhìn cái gì vậy?
When did you get my letter?	Bạn có lá thư của tôi từ khi nào?
When was printing invented?	Việc in ấn ra đời khi nào?
Where were you coming from?	Các bạn đến từ đâu?
Which country are you from?	Bạn đến từ nước nào vậy?
Who did you make these for?	Bạn làm những cái này cho ai vậy?
Who do you want to talk to?	Bạn muốn nói chuyện với ai?
Who told you to contact me?	Ai bảo cậu liên lạc với tôi?
Who's eaten all the cheese?	Ai đã ăn hết phô mai thế?
Who's your favorite player?	Cầu thủ yêu thích của bạn là ai?
Would you lend me a pencil?	Bạn cho tôi mượn một cái bút chì có được không?
Wow! It's been a long time.	Ồ! Đã từ lâu lâu lắm rồi.
You must continue to train.	Cậu phải tiếp tục luyện tập.
You need to pay in advance.	Bạn cần thanh toán trước.
You people can't stay here.	Các người không thể ở đây.
You should be more careful.	Bạn nên cẩn thận hơn.
You're not sleeping enough.	Bạn đang thiếu ngủ.
You've saved all our lives.	Bạn đã cứu sống toàn bộ chúng tôi.
"What's your name?" I asked.	Tôi hỏi "tên bạn là gì?".
"What's your name?" I asked.	Tôi hỏi "tên mày là gì?".
A friend told me that story.	Một người bạn đã kể cho tôi nghe câu chuyện đó.
A new school has been built.	Một nhà trường mới đã được xây dựng.
All of the balls are yellow.	Tất cả quả bóng đều có màu vàng.
Am I required to get a visa?	Tôi có bắt buộc phải lấy visa?
Am I required to get a visa?	Tôi có bắt buộc phải lấy thị thực?
Blood is thicker than water.	Một giọt máu đào hơn ao nước lã.
Both of us can speak French.	Hai chúng tôi đều có thể nói tiếng Pháp.
Both of us can speak French.	Hai người chúng tôi đều biết nói tiếng Pháp.
Both of us can speak French.	Hai chúng tôi đều biết nói tiếng Pháp.
Can you give me some advice?	Bạn có thể cho tôi vài lời khuyên được không?
Could you speak more slowly?	Bạn có thể nói chậm hơn được không?
Did Tom come here yesterday?	Hôm qua Tom có đến đây không?
Did Tom come here yesterday?	Hôm qua Tom có tới đây không?
Did you hear Tom is in town?	Tom lên thành phố rồi đấy, bạn nghe tin đấy chưa?
Do you believe in evolution?	Bạn có tin vào thuyết tiến hoá không?
Do you guys like white wine?	Các bạn có thích rượu vang trắng không?
Do you have a deck of cards?	Bạn có một bộ bài không?
Do you have a pain reliever?	Bạn có thuốc giảm đau không?
Do you want a cup of coffee?	Anh dùng thêm một cốc cà phê nhé?
Do you want a cup of coffee?	Anh dùng thêm một ly cà phê nhé?
Do you want a cup of coffee?	Chị dùng thêm một cốc cà phê nhé?
Do you want a cup of coffee?	Chị dùng thêm một ly cà phê nhé?
Do you want anything to eat?	Bạn có muốn ăn gì không?
Do you want me to paint you?	Mày có muốn tao sơn mày không?
Do you want to hang with us?	Bạn có muốn đi chơi với chúng tôi không?
Don't talk in the classroom.	Không được nói chuyện trong lớp học.
Don't you want a cup of tea?	Bạn có muốn một cốc cà phê không?
Each student has an adviser.	Mỗi sinh viên sẽ có một người hướng dẫn.
Each student has an adviser.	Mỗi học sinh sẽ có một người hướng dẫn.
English is spoken in Canada.	Tiếng Anh được nói ở Canađa.
Everyone knows Tom is lying.	Mọi người đều biết là Tom đang nói dối.
Everyone knows Tom is lying.	Ai cũng biết là Tom đang nói dối.
Everyone knows Tom is lying.	Tất cả mọi người đều biết là Tom đang nói dối.
Everyone knows Tom is lying.	Tất cả ai cũng biết là Tom đang nói dối.
Excuse me, where's the exit?	Xin lỗi, lối thoát hiểm nằm ở đâu?
Excuse me, where's the exit?	Xin lỗi, lối thoát hiểm ở đâu vậy?
France is in Western Europe.	Nước Pháp nằm ở khu vực Tây Âu.
Good medicine tastes bitter.	Thuốc đắng dã tật.
Have confidence in yourself.	Hãy tự tin vào bản thân.
He composes beautiful poems.	Anh ấy sáng tác những bài thơ đẹp.
He doesn't want you to know.	Anh ấy không muốn bạn biết.
He got lost on his way here.	Trên đường đến đây, nó đã đi lạc.
He got lost on his way here.	Nó đã đi lạc đường khi đên đây.
He is adept at telling lies.	Anh ấy là một người giỏi nói dối.
He told me his life's story.	Anh kể tôi nghe chuyện đời của mình
His advice didn't help much.	Lời khuyên của anh ta không giúp được gì nhiều.
How does that make you feel?	Cái đó làm bạn thấy thế nào?
How long have you known him?	Bạn đã quen anh ấy được bao lâu rồi?
I am disappointed in my son.	Tôi thất vọng về con trai tôi.
I called my good friend Tom.	Tôi đã gọi Tom bạn thân của tôi.
I came to Boston last month.	Tôi đã đến Boston tháng trước.
I can only speak for myself.	Tôi chỉ có thể nói cho chính mình thôi.
I can't go back without you.	Tôi không thể quay về mà không có bạn.
I didn't even know you knew.	Mình không hề biết là cậu cũng biết.
I don't have any more ideas.	Tôi không có thêm ý tưởng nào nữa.
I don't have any more ideas.	Tao không có thêm ý tưởng nào nữa.
I don't need to talk to Tom.	Tôi không cần nói chuyện với Tom.
I don't see any resemblance.	Tôi không thấy có gì giống nhau hết.
I don't want to be poisoned.	Tôi không muốn bị đầu độc.
I don't want to be poisoned.	Tôi không muốn bị ngộ độc.
I don't want to be poisoned.	Tôi không muốn bị trúng độc.
I don't want to get married.	Tôi không muốn kết hôn.
I don't want to get married.	Tôi không muốn lấy vợ.
I don't want to get married.	Tôi không muốn lấy chồng.
I feel more dead than alive.	Tôi cảm thấy thừa sống, thiếu chết.
I feel more dead than alive.	Tôi cảm thấy như thừa sống thiếu chết vậy.
I had intended to go abroad.	Tôi từng có ý định đi nước ngoài.
I had intended to go abroad.	Tôi từng có ý định ra nước ngoài.
I had intended to go abroad.	Tôi từng có ý định đi ra nước ngoài.
I have lots of things to do.	Tôi có rất nhiều việc để làm.
I have nothing better to do.	Tôi không có gì tốt hơn để làm hết.
I have to pick some flowers.	Tôi phải hái một ít hoa.
I have to work this weekend.	Tôi phải làm việc vào tuần này.
I haven't even told my wife.	Tôi thậm chí còn chưa nói với vợ tôi.
I heard everything you said.	Tớ nghe tất cả những điều cậu nói.
I heard everything you said.	Tớ nghe hết những điều cậu nói.
I like to fish in the river.	Tôi thích câu cá ở sông.
I lived in Boston last year.	Năm ngoái tôi sống ở Boston.
I lived in Boston last year.	Tôi sống ở Boston năm ngoái.
I plan to break up with her.	Tôi định sẽ chia tay với cô ấy.
I prefer to do it by myself.	Tôi thích tự làm lấy.
I prefer to do it by myself.	Tôi muốn tự làm lấy.
I read the report you wrote.	Tôi đã đọc bản báo cáo mà bạn viết.
I really owe you an apology.	Tôi nợ bạn một lời xin lỗi.
I saw a strange woman there.	Tôi đã trông thấy một người phụ nữ lạ mặt ở đó.
I shouldn't have logged off.	Tôi không nên đăng xuất.
I still want to be with you.	Em vẫn muốn ở bên anh.
I still want to be with you.	Anh vẫn muốn ở bên em.
I think Tom might be sleepy.	Tôi nghĩ Tom có thể đang buồn ngủ.
I think Tom should be fired.	Tôi nghĩ là Tom nên bị sa thải.
I think Tom should be fired.	Tôi nghĩ Tom nên bị sa thải.
I think you should sit down.	Tôi nghĩ bạn nên ngồi xuống.
I think you should sit down.	Tôi nghĩ là bạn nên ngồi xuống.
I thought you'd be too busy.	Tớ nghĩ cậu quá bận.
I took another swig of beer.	Tôi đã nhấp thêm một ngụm bia to.
I was expecting you at 2:30.	Tôi đã chờ gặp bạn lúc 2:30.
I wasn't sure I could do it.	Tôi đã không chắc là tôi có thể làm được.
I wish I could study French.	Giá mà tôi có thể học tiếng Pháp.
I won't work overtime today.	Hôm nay tôi định sẽ không làm thêm giờ.
I would like a tourist visa.	Tôi muốn có một thị thực du lịch.
I'd rather die than give up.	Tôi thà chết còn hơn là bỏ cuộc.
I'd rather die than give up.	Tôi thà chết chứ không bỏ cuộc.
I'll buy a watch for my son.	Tôi sẽ mua một chiếc đồng hồ cho con tôi.
I'll buy a watch for my son.	Tao sẽ mua một chiếc đồng hồ cho con của tao.
I'll never forgive you, Tom.	Tỗi sẽ không bao giờ tha thứ cho cậu, Tom.
I'm dining out this evening.	Tối nay tôi ăn ngoài.
I'm dining out this evening.	Tối nay tôi sẽ ăn ngoài.
I'm dining out this evening.	Tôi sẽ ăn ngoài tối nay.
I'm eating out this evening.	Tối nay tôi ăn ngoài.
I'm eating out this evening.	Tối nay tôi sẽ ăn ngoài.
I'm eating out this evening.	Tôi sẽ ăn ngoài tối nay.
I'm glad Mary isn't my wife.	Mừng là Mary không phải là vợ của tôi.
I'm sorry, I can't hear you.	Tôi xin lỗi, tôi không nghe được bạn nói gì.
I'm sure Tom agrees with me.	Tôi chắc chắn là Tom đồng tình với tôi.
I'm sure Tom agrees with me.	Tôi chắc chắn là Tom đồng ý với tôi.
I'm working on another case.	Tôi đang điều tra vụ án khác.
I'm working on another case.	Tôi đang làm việc với trường hợp khác.
I'm working on another case.	Tôi đang làm vụ mới.
I've been learning to drive.	Tôi đang học lái.
I've never seen Tom so busy.	Tôi chưa từng thấy Tom bận như thế.
Is Tom able to speak French?	Tom có nói được tiếng Pháp không?
Is Tom able to speak French?	Tom biết nói tiếng Pháp không?
Is it made of wood or metal?	Cái này là làm từ gỗ hay là làm từ sắt?
Is it made of wood or metal?	Cái đó là làm từ gỗ hay là làm từ kim loại?
Is it raining now in Boston?	Bây giờ ở Boston có mưa không?
Is this translation correct?	Bản dịch này có đúng không?
It never rains but it pours.	Phúc bất trùng lai, họa vô đơn chí.
It sounds like you're tired.	Nghe có vẻ như bạn đang mệt.
It's just around the corner.	Ngay quanh góc phố.
It's too complicated for me.	Nó quá phức tạp với tôi.
It's too complicated for me.	Nó quá phức tạp đối với tôi.
Italy is in southern Europe.	Nước Ý nằm ở phía nam châu âu.
Let's eat now. I'm starving.	Chúng ta ăn thôi. Tôi sắp chết vì đói rồi.
Make yourselves comfortable.	Xin bạn hãy cứ tự nhiên như ở nhà.
Mary wore a strapless dress.	Mary đã mặc một chiếc váy không dây.
Most people think I'm crazy.	Nhiều người nghĩ là tôi điên.
Most people think I'm crazy.	Nhiều người cho là tôi bị điên.
My brother speaks very fast.	Em trai tôi nói rất nhanh.
My brother speaks very fast.	Anh trai tôi nói rất nhanh.
My father came home at nine.	Bố tôi đã về nhà vào lúc 9 giờ.
My father came home at nine.	Ba tôi đã về nhà vào lúc 9 giờ.
Next time I'll come earlier.	Lần tới tôi sẽ đến sớm hơn.
No man is wise at all times.	Không có người lúc nào cũng khôn ngoan.
No one knows me like you do.	Không ai hiểu tôi bằng bạn.
She decided to quit her job.	Chị ấy quyết định thôi việc.
She decided to study abroad.	Cô ấy đã quyết định sẽ đi du học.
She has to pay for the book.	Cô ấy phải trả tiền cho cuốn sách đó.
She has to pay for the book.	Cô ấy phải trả tiền cho quyển sách đó.
She is contemplating a trip.	Cô ấy đang tính đi du lịch đâu đó.
She is used to living alone.	Cô ta đã từng sống một mình.
She kissed him on the cheek.	Cô ấy đã hôn lên má anh ấy.
She left France for America.	Cô ấy rời Pháp để đến Mỹ.
She likes painting pictures.	Cô ta thích vẽ tranh.
She may use this typewriter.	Cô ấy có thể dùng cái máy đánh chữ này.
She really likes cats a lot.	Quả thật bà ấy rất yêu mèo.
She turned and began to cry.	Cô ấy ngoảnh mặt đi và bắt đầu khóc.
She will be here in no time.	Cô ta sẽ có mặt ngay.
Thanks for your explanation.	Cảm ơn lời giải thích của bạn.
Thanks for your explanation.	Cảm ơn bạn đã giải thích giúp tôi.
Thanks for your explanation.	cảm ơn vì giải thích của bạn
That's what this city needs.	Đó là điều mà thành phố này cần.
That's what this city needs.	Đó chính là điều mà thành phố này cần.
That's where the problem is.	Vấn đề nằm ở đó.
That's why I went to Boston.	Đó là lý do tôi đã đi Boston.
That's why I went to Boston.	Đó là lý do mà tôi đã đi Boston.
The bed is very comfortable.	Cái giường đó rất thoải mái.
The bed is very comfortable.	Chiếc giường đó cực kỳ thoải mái.
The birds are flying around.	Những cánh chim đang chao lượn.
The end justifies the means.	Mục đích biện minh cho phương tiện.
The meeting lasted one hour.	Cuộc họp đó đã kéo dài một tiếng.
The meeting lasted one hour.	Cuộc họp đó đã kéo dài một giờ đồng hồ.
The more people, the better.	Càng đông càng vui.
The soup is a bit too salty.	Món xúp hơi mặn.
The store is already closed.	Cửa hàng đó đã đóng cửa rồi.
The store is already closed.	Cửa hàng đó đã đóng cửa.
The television doesn't work.	Ti vi không lên hình.
The television doesn't work.	Ti vi hỏng rồi.
The tickets are 20 yen each.	Giá một vé là 20 Yên.
The train is always on time.	Chiếc xe lửa này luôn luôn đúng giờ.
There could be consequences.	Có thể sẽ có hậu quả.
There is frost on the grass.	Có sương muối ở trên cỏ.
There is no place like home.	Ta về ta tắm ao ta, dù trong dù đục ao nhà vẫn hơn.
There's just one chair left.	Chỉ có một cái ghế còn lại.
They had a rest for a while.	Họ nghỉ ngơi một lát.
They won't know we're there.	Họ sẽ không biết là chúng ta đang ở đó.
They won't know we're there.	Họ sẽ không biết là chúng ta ở đó.
They work eight hours a day.	Họ làm việc tám tiếng một ngày.
This song is familiar to us.	Bài hát này quen thuộc đối với chúng tôi.
This song is familiar to us.	Bài hát này quen thuộc với chúng tôi.
This song is familiar to us.	Bài hát này quen thuộc với tụi tao.
This store sells vegetables.	Cửa hàng đó bán rau.
This store sells vegetables.	Cửa hàng đó có bán rau củ.
Tom angrily closed the door.	Tom đã đóng cửa một cách giận dữ.
Tom dialed the wrong number.	Tom đã quay nhầm số điện thoại.
Tom dialed the wrong number.	Tom đã gọi nhầm số điện thoại.
Tom dialed the wrong number.	Tom đã bấm nhầm số điện thoại.
Tom didn't answer our calls.	Tom đã không trả lời các cuộc gọi của chúng tôi.
Tom enjoyed a glass of wine.	Tom đã tận hưởng một ly rượu vang.
Tom found this on the porch.	Tom đã tìm thấy cái này ở hiên nhà.
Tom got to Boston yesterday.	Tom đã đi Boston hồi hôm qua.
Tom got to Boston yesterday.	Hôm qua Tom đã đi Boston.
Tom got to Boston yesterday.	Tom đã đi Boston hôm qua rồi.
Tom had a healthy childhood.	Tom có một tuổi thơ lành mạnh.
Tom had a healthy childhood.	Tom từng có một tuổi thơ lành mạnh.
Tom has a possible solution.	Tom có một giải pháp khả thi.
Tom has been expecting this.	Tom đã biết trước chuyện này.
Tom has called an ambulance.	Tom đã gọi một xe cứu thương.
Tom is Mary's private tutor.	Tom là gia sư của Mary.
Tom is bald, but John isn't.	Tom thì hói nhưng John thì không.
Tom is looking for a lawyer.	Tom đang tìm một luật sư.
Tom is shorter than average.	Tom thấp hơn mức trung bình.
Tom looked tired, but happy.	Tom trông có vẻ mệt mỏi nhưng vui vẻ.
Tom rarely talks to anybody.	Tom hiếm khi với bất cứ ai
Tom said he's ready to help.	Tom đã nói rằng anh ấy sẵn sàng giúp đỡ.
Tom said you hurt your back.	Tom nói ấy tự làm đau lưng mình.
Tom seems to like Australia.	Dường như Tom thích nước Úc.
Tom showed up at about 2:30.	Tom xuất hiện vào khoảng 2 giờ rưỡi.
Tom spent the night in jail.	Tom ở trong nhà giam cả đêm.
Tom told me I should resign.	Tom bảo tôi nên thôi việc.
Tom told me I should resign.	Tom bảo tôi nên nghỉ việc.
Tom told me to talk to Mary.	Tom bảo tôi nói chuyện với Mary.
Tom took a few deep breaths.	Tom hít sâu vài hơi.
Tom took a very deep breath.	Tom đã hít một hơi thật sâu.
Tom tried to commit suicide.	Tom đã từng cố tự tử.
Tom tried to get some sleep.	Tom đã cố gắng đi ngủ.
Tom turned and glared at me.	Tom quay lại và trừng mắt vào tôi.
Tom wanted to get a divorce.	Tom đã muốn ly hôn.
Tom wanted to get a divorce.	Tom đã muốn li hôn.
Tom was the first to arrive.	Tom là người đến đầu tiên.
Tom was the first to arrive.	Tom là người tới đầu tiên.
Tom was wearing a blue coat.	Tom đã mặc một chiếc áo khoác màu xanh .
Tom won't be waiting for me.	Tom sẽ không chờ tôi.
Tom won't be waiting for me.	Tom sẽ không đợi tôi.
Tom won't be waiting for me.	Tom sẽ không chờ đợi tôi.
Try this on. It's your size.	Mặc thử đi. Size này vừa với bạn nè.
We bought this in Australia.	Chúng tôi mua nó ở Úc.
We could live in peace here.	Tôi có thể sống yên bình ở đây.
We get together once a year.	Chúng tôi gặp nhau mỗi năm một lần.
We got the job done on time.	Chúng tôi đã hoàn thành công việc đúng lúc.
We have a lot of work to do.	Chúng tôi có nhiều công việc phải làm.
We have a lot of work to do.	Chúng ta có nhiều công việc phải làm.
We learn by trial and error.	Thất bại là mẹ thành công.
We must be alert to dangers.	Chúng ta không được lơ là cảnh giác trước những nguy hiểm.
We skied on artificial snow.	Chúng tôi đã trượt tuyết nhân tạo.
We'd better get out of here.	Chúng ta tốt hơn hết là rời khỏi đây.
We're one big, happy family.	Chúng ta là một gia đình lớn và hạnh phúc.
We're stuck with each other.	Chúng tôi bị kẹt lại với nhau.
What animals eat mosquitoes?	Những loài động vật nào ăn muỗi?
What did you want Tom to do?	Bạn đã muốn Tom làm gì?
What did you want Tom to do?	Lúc đó bạn muốn Tom làm gì?
