year,title,genre
1967,Cool Hand Luke,drama
1967,A Covenant with Death,drama
1967,Custer of the West,western
1967,Devil's Angels,biker drama
1967,The Dirty Dozen,war
1967,Divorce American Style,comedy
1967,Doctor Dolittle,fantasy
1967,Doctor Faustus,drama
1967,"Doctor, You've Got to Be Kidding!",comedy
1967,Dont Look Back,documentary
1967,Don't Make Waves,comedy
1967,"Easy Come, Easy Go",musical
1967,Eight on the Lam,comedy
1967,Enter Laughing,comedy
1967,The Fearless Vampire Killers,horror comedy
1967,First to Fight,war
1967,The Flim-Flam Man,comedy
1967,Fort Utah,western
1967,The Fox,drama
1967,Games,thriller
1967,Gentle Giant,family
1967,The Girl with the Hungry Eyes,sexploitation
1967,The Gnome-Mobile,fantasy
1967,Good Times,musical comedy
1967,The Graduate,comedy
1967,Grand Slam,crime
1967,Guess Who's Coming to Dinner,drama
1967,A Guide for the Married Man,comedy
1967,Gunfight in Abilene,western
1967,Gunn,mystery
1967,The Happening,comedy
1967,The Happiest Millionaire,musical
1967,Hell on Wheels,action
1967,The Hellcats,biker film
1967,Hells Angels on Wheels,biker film
1967,Hillbillys in a Haunted House,horror comedy
1967,Hombre,western
1967,The Honey Pot,"comedy, mystery"
1967,Hot Rods to Hell,drama
1967,Hotel,drama
1967,Hour of the Gun,western
1967,How to Succeed in Business Without Really Trying,musical comedy
1967,Hurry Sundown,drama
1967,In Cold Blood,crime drama
1967,In the Heat of the Night,crime drama
1967,In Like Flint,spy spoof
1967,The Incident,thriller
1967,It's a Bikini World,comedy
1967,Jack of Diamonds,crime
1967,Journey to the Center of Time,sci-fi
1967,Jungle Book,animation
1967,King Kong Escapes,sci-fi
1967,Kill a Dragon,action
1967,The King's Pirate,adventure
1967,Luv,comedy
1967,Mad Monster Party,animation
1967,Mars Needs Women,sci-fi
1967,"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",comedy
1967,Point Blank,crime drama
1967,The President's Analyst,comedy
1967,Reflections in a Golden Eye,drama
1967,The Reluctant Astronaut,comedy
1967,Rosie!,comedy
1967,Rough Night in Jericho,western
1967,The Shooting,western
1967,The Shuttered Room,suspense
1967,The Spirit Is Willing,comedy
1967,The St. Valentine's Day Massacre,crime drama
1967,The Taming of the Shrew,comedy
1967,Thoroughly Modern Millie,musical comedy
1967,Thunder Alley,sports drama
1967,The Tiger Makes Out,comedy
1967,A Time for Killing,western
1967,Tobruk,war
1967,Tony Rome,crime drama
1967,Torture Garden,horror
1967,Track of Thunder,drama
1967,The Trip,drama
1967,Up the Down Staircase,drama
1967,Valley of the Dolls,drama
1967,The Venetian Affair,spy
1967,Wait Until Dark,thriller
1967,The War Wagon,western
1967,Warning Shot,crime drama
1967,Waterhole No. 3,comedy western
1967,The Way West,western
1967,Welcome to Hard Times,western
1967,Who's That Knocking at My Door,drama
1968,5 Card Stud,"western, mystery"
1968,2001: A Space Odyssey,science fiction
1968,Anzio,war
1968,Assignment to Kill,drama
1968,The Astro-Zombies,sci-fi
1968,Bandolero!,western
1968,The Biggest Bundle of Them All,"comedy, crime"
1968,Blackbeard's Ghost,"comedy, fantasy"
1968,The Boston Strangler,true crime
1968,The Brotherhood,crime drama
1968,Bullitt,crime drama
1968,"Buona Sera, Mrs. Campbell",comedy
1968,Bye Bye Braverman,comedy
1968,Candy,comedy
1968,Charly,drama
1968,Coogan's Bluff,crime drama
1968,Countdown,sci-fi
1968,Counterpoint,war
1968,Daring Game,drama
1968,Day of the Evil Gun,western
1968,The Detective,crime drama
1968,The Devil's Brigade,war
1968,Did You Hear the One About the Traveling Saleslady?,comedy
1968,Don't Just Stand There!,comedy
1968,"Don't Raise the Bridge, Lower the River",comedy
1968,Faces,drama
1968,"Finders Keepers, Lovers Weepers!",drama
1968,Finian's Rainbow,musical
1968,Firecreek,western
1968,Flesh,comedy
1968,For Love of Ivy,romantic comedy
1968,For Singles Only,romance
1968,Funny Girl,musical
1968,The Green Berets,war
1968,Hang 'Em High,western
1968,Head,"comedy, musical"
1968,The Heart Is a Lonely Hunter,drama
1968,Hell in the Pacific,war
1968,Hellfighters,action
1968,The Hell with Heroes,war
1968,The Horse in the Gray Flannel Suit,family
1968,Hot Millions,comedy
1968,How to Save a Marriage and Ruin Your Life,comedy
1968,"I Love You, Alice B. Toklas",comedy
1968,Ice Station Zebra,action
1968,The Impossible Years,comedy
1968,Jigsaw,thriller
1968,Killers Three,crime
1968,The Killing of Sister George,drama
1968,Kona Coast,drama
1968,Lady in Cement,crime drama
1968,The Legend of Lylah Clare,drama
1968,"Live a Little, Love a Little",comedy
1968,The Love Bug,family
1968,A Lovely Way to Die,drama
1968,Madigan,crime drama
1968,The Magus,drama
1968,A Man Called Dagger,spy comedy
1968,The Mini-Skirt Mob,crime drama
1968,The Money Jungle,crime drama
1968,More Dead Than Alive,western
1968,Never a Dull Moment,crime comedy
1968,The Night of the Following Day,crime drama
1968,Night of the Living Dead,horror
1968,The Night They Raided Minsky's,comedy
1968,No Way to Treat a Lady,thriller
1968,Nobody Runs Forever,drama
1968,Nobody's Perfect,comedy
1968,The Odd Couple,comedy
1968,"The One and Only, Genuine, Original Family Band",family
1968,P.J.,mystery
1968,Paper Lion,"biography, sports"
1968,The Party,comedy
1968,The Pink Jungle,adventure
1968,A Place for Lovers,drama
1968,Planet of the Apes,science fiction
1968,The Power,thriller
1968,Pretty Poison,suspense
1968,The Private Navy of Sgt. O'Farrell,war comedy
1968,Psych-Out,crime drama
1968,"Rachel, Rachel",drama
1968,Rosemary's Baby,horror
1968,The Savage Seven,drama
1968,The Scalphunters,western
1968,The Secret Life of an American Wife,comedy
1968,The Secret War of Harry Frigg,war comedy
1968,The Sergeant,drama
1968,Sergeant Ryker,drama
1968,The Shakiest Gun in the West,comedy
1968,Shalako,western
1968,She-Devils on Wheels,biker film
1968,The Shoes of the Fisherman,drama
1968,Single Room Furnished,drama
1968,Sol Madrid,crime
1968,Speedway,musical
1968,Spirits of the Dead,anthology
1968,The Split,crime drama
1968,The Stalking Moon,western
1968,Star!,biography
1968,"Stay Away, Joe",western
1968,The Subject Was Roses,drama
1968,The Sweet Ride,drama
1968,Sweet November,drama
1968,The Swimmer,drama
1968,Targets,thriller
1968,They Came to Rob Las Vegas,crime
1968,The Thomas Crown Affair,crime
1968,Three in the Attic,suspense
1968,Uptight,drama
1968,Villa Rides,western
1968,Vixen!,sexploitation
1968,Voyage to the Planet of Prehistoric Women,science fiction
1968,What's So Bad About Feeling Good?,comedy
1968,"Where Angels Go, Trouble Follows",comedy
1968,Where Eagles Dare,war
1968,White Comanche,western
1968,The Wicked Dreams of Paula Schultz,comedy
1968,Wild 90,experimental
1968,Wild in the Streets,drama
1968,The Wild Racers,action
1968,Will Penny,western
1968,With Six You Get Eggroll,comedy
1968,"Yours, Mine and Ours",comedy
1969,100 Rifles,western
1969,Alice's Restaurant,comedy
1969,"Angel, Angel, Down We Go",drama
1969,Angel in My Pocket,comedy
1969,The April Fools,romantic comedy
1969,The Arrangement,drama
1969,Bambi Meets Godzilla,animated short
1969,The Big Bounce,drama
1969,The Big Cube,thriller
1969,Blood of Dracula's Castle,horror
1969,Bob & Carol & Ted & Alice,comedy
1969,A Boy Named Charlie Brown,animated film
1969,The Bridge at Remagen,war
1969,The Bushbaby,family
1969,Butch Cassidy and the Sundance Kid,western
1969,Cactus Flower,comedy
1969,Castle Keep,war
1969,The Chairman,drama
1969,Change of Habit,drama
1969,Change of Mind,sci-fi
1969,Changes,drama
1969,Chastity,drama
1969,Childish Things,drama
1969,The Comic,comedy
1969,The Computer Wore Tennis Shoes,comedy
1969,Death of a Gunfighter,western
1969,De Sade,drama
1969,The Devil's 8,crime
1969,Don't Drink the Water,comedy
1969,Downhill Racer,drama
1969,Easy Rider,drama
1969,The Extraordinary Seaman,war comedy
1969,Eye of the Cat,horror
1969,The Female Bunch,action
1969,Flareup,thriller
1969,"Gaily, Gaily",comedy
1969,The Gay Deceivers,comedy
1969,Gidget Grows Up,comedy
1969,Girl in Gold Boots,drama
1969,"Goodbye, Columbus",romance
1969,"Goodbye, Mr. Chips","musical, drama"
1969,The Grasshopper,drama
1969,Guns of the Magnificent Seven,western
1969,The Gypsy Moths,drama
1969,"Hail, Hero!",drama
1969,"Hello, Dolly!",musical
1969,Hello Down There,comedy
1969,Hell's Angels '69,biker
1969,"Hook, Line & Sinker",comedy
1969,House of Cards,crime
1969,How to Commit Marriage,comedy
1969,"If It's Tuesday, This Must Be Belgium",comedy
1969,The Illustrated Man,science-fiction
1969,Impasse,adventure
1969,It Takes All Kinds,crime
1969,Justine,drama
1969,"Krakatoa, East of Java",disaster film
1969,Last Summer,drama
1969,The Learning Tree,drama
1969,Lola,drama
1969,Lost Flight,drama
1969,The Lost Man,drama
1969,Love Camp 7,thriller
1969,The Love God?,comedy
1969,Mackenna's Gold,western
1969,The Madwoman of Chaillot,comedy
1969,Marlowe,mystery
1969,Marooned,science-fiction
1969,"Me, Natalie",comedy drama
1969,Medium Cool,drama
1969,Midas Run,comedy
1969,Midnight Cowboy,drama
1969,More Dead Than Alive,western
1969,My Side of the Mountain,family
1969,Naked Angels,biker film
1969,Number One,drama
1969,Paint Your Wagon,"musical, western"
1969,Popi,"comedy, drama"
1969,Putney Swope,comedy
1969,The Rain People,drama
1969,The Reivers,comedy
1969,Riot,action
1969,The Royal Hunt of the Sun,historical
1969,Sam Whiskey,western
1969,The Secret of Santa Vittoria,"comedy, drama"
1969,Shark!,action
1969,The Sidehackers,drama
1969,Slaves,drama
1969,Some Kind of a Nut,comedy
1969,The Sterile Cuckoo,drama
1969,Support Your Local Sheriff,comedy
1969,Sweet Charity,musical
1969,Take the Money and Run,comedy
1969,A Talent for Loving,"western, comedy"
1969,Tell Them Willie Boy Is Here,"drama, western"
1969,"They Shoot Horses, Don't They?",drama
1969,A Time for Dying,western
1969,Topaz,thriller
1969,Trilogy,drama
1969,The Trouble with Girls,drama
1969,True Grit,western
1969,The Undefeated,western
1969,The Valley of Gwangi,sci-fi
1969,Viva Max!,comedy
1969,What Ever Happened to Aunt Alice?,horror
1969,Where It's At,drama
1969,The Wild Bunch,western
1969,Winning,drama
1969,Young Billy Young,western
1970,Adam at Six A.M.,unknown
1970,The Adventurers,unknown
1970,Airport,unknown
1970,Alex in Wonderland,unknown
1970,Angel Unchained,unknown
1970,The Aristocats,unknown
1970,The Baby Maker,unknown
1970,The Ballad of Cable Hogue,unknown
1970,Barquero,unknown
1970,Beneath the Planet of the Apes,unknown
1970,Beyond the Valley of the Dolls,unknown
1970,Bigfoot,unknown
1970,Bloody Mama,unknown
1970,The Boatniks,unknown
1970,The Boys in the Band,unknown
1970,Brewster McCloud,unknown
1970,A Bullet for Pretty Boy,unknown
1970,Cannon for Cordoba,western
1970,Catch-22,"war, comedy"
1970,"Cherry, Harry & Raquel!",drama
1970,The Cheyenne Social Club,western
1970,Colossus: The Forbin Project,science fiction
1970,Cotton Comes to Harlem,comedy
1970,"Count Yorga, Vampire",horror
1970,Darker than Amber,action
1970,Darling Lili,musical
1970,The Delta Factor,action
1970,Diary of a Mad Housewife,drama
1970,Dirty Dingus Magee,western
1970,The Dunwich Horror,horror
1970,El Condor,western
1970,End of the Road,drama
1970,Equinox,horror
1970,Five Easy Pieces,drama
1970,Flesh Feast,horror
1970,Getting Straight,comedy
1970,The Great White Hope,biography
1970,The Hawaiians,drama
1970,Hercules in New York,comedy
1970,The Honeymoon Killers,"crime, drama"
1970,Hornets’ Nest,war
1970,House of Dark Shadows,horror
1970,How Do I Love Thee?,comedy
1970,Husbands,drama
1970,I Drink Your Blood,horror
1970,I Love My Wife,comedy
1970,I Never Sang for My Father,drama
1970,I Walk the Line,drama
1970,The Invincible Six,adventure
1970,Jenny,drama
1970,Joe,drama
1970,Kelly's Heroes,"war, action"
1970,The Kremlin Letter,thriller
1970,The Lady in the Car with Glasses and a Gun,thriller
1970,The Landlord,comedy
1970,Last of the Mobile Hot Shots,drama
1970,The Last Warrior,western
1970,Little Big Man,western
1970,Little Fauss and Big Halsy,drama
1970,Love Story,romance
1970,"M""A*S*H","comedy, war"
1970,Macho Callahan,western
1970,Maidstone,drama
1970,A Man Called Horse,western
1970,The Molly Maguires,drama
1970,Monty Walsh,western
1970,The Moonshine War,drama
1970,Move,comedy
1970,"My Lover, My Son",drama
1970,Nam's Angels,"war, biker"
1970,Norwood,comedy
1970,On a Clear Day You Can See Forever,musical
1970,One More Time,comedy
1970,The Out-of-Towners,comedy
1970,Party at Kitty and Stud's,adult
1970,Patton,"war, biography"
1970,The People Next Door,drama
1970,The Phantom Tollbooth,animation
1970,Puzzle of a Downfall Child,drama
1970,Quackser Fortune Has a Cousin in the Bronx,comedy
1970,R. P. M.,drama
1970,"Rabbit, Run","comedy, drama"
1970,The Rebel Rousers,biker
1970,Rio Lobo,western
1970,Skullduggery,drama
1970,Soldier Blue,western
1970,Something for Everyone,comedy
1970,Sometimes a Great Notion,drama
1970,Start the Revolution Without Me,comedy
1970,The Strawberry Statement,drama
1970,Suppose They Gave a War and Nobody Came,comedy
1970,"Tell Me That You Love Me, Junie Moon","comedy, drama"
1970,There Was a Crooked Man...,"western, comedy"
1970,They Call Me MISTER Tibbs!,drama
1970,...tick...tick...tick...,action
1970,Too Late the Hero,war
1970,Tora! Tora! Tora!,"war, drama"
1970,Trash,drama
1970,Tribes,drama
1970,The Traveling Executioner,western
1970,The Twelve Chairs,comedy
1970,Two Mules for Sister Sara,western
1970,Up in the Cellar,drama
1970,WUSA,drama
1970,A Walk in the Spring Rain,romance
1970,Watermelon Man,comedy
1970,Where's Poppa?,comedy
1970,Which Way to the Front?,comedy
1970,The Wizard of Gore,horror
1970,The Yin and the Yang of Mr. Go,drama
1970,You Can't Win 'Em All,war
1970,Zabriskie Point,drama
1970,Zig Zag,thriller
1971,$ aka Dollars,unknown
1971,200 Motels,unknown
1971,The Anderson Tapes,unknown
1971,The Andromeda Strain,unknown
1971,Bad Man's River,unknown
1971,Bananas,unknown
1971,The Barefoot Executive,unknown
1971,The Battle of Love's Return,unknown
1971,Bedknobs and Broomsticks,unknown
1971,The Beguiled,unknown
1971,The Big Doll House,unknown
1971,Big Jake,unknown
1971,Billy Jack,unknown
1971,Bless the Beasts and Children,unknown
1971,Blood and Lace,unknown
1971,Blood Thirst,unknown
1971,Born to Win,unknown
1971,Brian's Song,unknown
1971,Brother John,unknown
1971,Bunny O'Hare,unknown
1971,Cain's Cutthroats,western
1971,Carnal Knowledge,drama
1971,Catlow,western
1971,Chrome and Hot Leather,biker film
1971,Clay Pigeon,action
1971,Cold Turkey,comedy
1971,Cry Uncle!,comedy
1971,The Deserter,western
1971,Desperate Characters,drama
1971,"Die Screaming, Marianne",horror
1971,Dirty Harry,"drama, action"
1971,Doc,western
1971,Doctors' Wives,drama
1971,Dracula vs. Frankenstein,horror
1971,"Drive, He Said",drama
1971,Duel,thriller
1971,Escape from the Planet of the Apes,science fiction
1971,Fiddler on the Roof,musical
1971,Fools' Parade,"crime, drama"
1971,Four Rode Out,western
1971,The French Connection,"crime, drama"
1971,Fright,suspense
1971,Gas-s-s-s,comedy
1971,Going Home,drama
1971,The Grissom Gang,crime
1971,A Gunfight,western
1971,Hannie Caulder,western
1971,"Happy Birthday, Wanda June",comedy
1971,Harold and Maude,comedy
1971,The Hellstrom Chronicle,mockumentary
1971,The Hired Hand,western
1971,The Horsemen,adventure
1971,The Hospital,drama
1971,How to Frame a Figg,comedy
1971,The Hunting Party,western
1971,The Incredible 2-Headed Transplant,sci-fi
1971,Johnny Got His Gun,"drama, war"
1971,Kidnapped,drama
1971,Klute,mystery
1971,The Last Movie,drama
1971,The Last Picture Show,drama
1971,The Last Run,action
1971,Lawman,western
1971,Le Mans,action
1971,Let's Scare Jessica to Death,horror
1971,The Light at the Edge of the World,adventure
1971,Little Murders,comedy
1971,The Love Machine,drama
1971,Made for Each Other,romantic comedy
1971,Man in the Wilderness,western
1971,McCabe & Mrs. Miller,western
1971,The Mephisto Waltz,horror
1971,The Million Dollar Duck,family
1971,Minnie and Moskowitz,romantic comedy
1971,Mrs. Pollifax-Spy,mystery
1971,Murders in the Rue Morgue,suspense
1971,Murphy's War,war
1971,Necromania,horror
1971,A New Leaf,comedy
1971,The Night God Screamed,psychological horror
1971,Night of Dark Shadows,mystery
1971,Octaman,sci-fi
1971,The Omega Man,sci-fi
1971,One More Train to Rob,western
1971,The Panic in Needle Park,drama
1971,Pink Narcissus,fantasy
1971,Play Misty for Me,thriller
1971,Plaza Suite,comedy
1971,Pretty Maids All in a Row,"mystery, comedy"
1971,Punishment Park,mockumentary
1971,The Pursuit of Happiness,drama
1971,Raid on Rommel,war
1971,Red Sky at Morning,drama
1971,The Resurrection of Zachary Wheeler,sci-fi
1971,The Return of Count Yorga,horror
1971,A Safe Place,drama
1971,See No Evil,suspense
1971,The Seven Minutes,drama
1971,Shaft,"crime, action"
1971,Shoot Out,western
1971,"Simon, King of the Witches",horror
1971,Skin Game,"western, comedy"
1971,Something Big,western
1971,Sometimes a Great Notion,adventure
1971,Star Spangled Girl,comedy
1971,Straw Dogs,thriller
1971,Such Good Friends,"comedy, drama"
1971,Summer of '42,drama
1971,Summertree,drama
1971,Sunday Bloody Sunday,drama
1971,Support Your Local Gunfighter!,comedy
1971,Sweet Sweetback's Baadasssss Song,crime drama
1971,THX 1138,science fiction
1971,T.R. Baskin,drama
1971,Taking Off,comedy
1971,There's Always Vanilla,drama
1971,They Might Be Giants,mystery
1971,The Touch,drama
1971,The Touch of Satan,horror
1971,Two-Lane Blacktop,drama
1971,Valdez Is Coming,western
1971,Vanishing Point,action
1971,Villain,crime
1971,Von Richthofen and Brown,war
1971,Werewolves on Wheels,"horror, action"
1971,What's the Matter with Helen?,thriller
1971,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,comedy
1971,Wild Rovers,western
1971,Willard,horror
1971,Willy Wonka & the Chocolate Factory,"musical, fantasy"
1971,The Zodiac Killer,crime drama
1972,1776,musical
1972,Across 110th Street,crime drama
1972,Another Nice Mess,comedy
1972,Avanti!,comedy
1972,Bad Company,western
1972,Ben,horror
1972,Behind the Green Door,adult
1972,Beware! The Blob,sci-fi
1972,The Big Bird Cage,exploitation
1972,Black Rage,drama
1972,Blacula,horror
1972,Bone,crime drama
1972,Boxcar Bertha,drama
1972,Buck and the Preacher,western
1972,Butterflies Are Free,comedy
1972,Cabaret,musical
1972,The Candidate,drama
1972,The Carey Treatment,mystery
1972,Chato's Land,western
1972,Children Shouldn't Play with Dead Things,horror
1972,Cisco Pike,drama
1972,"Come Back, Charleston Blue",comedy
1972,Conquest of the Planet of the Apes,science fiction
1972,Cool Breeze,crime
1972,A Cop,crime
1972,Corky,action
1972,The Cowboys,western
1972,Deep Throat,adult
1972,Deliverance,drama
1972,Dr. Phibes Rises Again,horror
1972,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,drama
1972,Endless Night,mystery
1972,Fat City,drama
1972,Fritz the Cat,"animated, adult"
1972,Frogs,horror
1972,Fuzz,action comedy
1972,Get to Know Your Rabbit,comedy
1972,The Getaway,crime drama
1972,The Godfather,crime drama
1972,Grave of the Vampire,horror
1972,The Great Northfield Minnesota Raid,western
1972,Hammer,action
1972,Hammersmith Is Out,comedy
1972,The Heartbreak Kid,comedy
1972,Heat,drama
1972,Hickey & Boggs,crime
1972,Hit Man,crime
1972,The Hot Rock,crime
1972,Images,thriller
1972,J.W. Coop,western
1972,Jeremiah Johnson,western
1972,Joe Kidd,western
1972,Journey Back to Oz,animation
1972,Junior Bonner,western
1972,Kansas City Bomber,drama
1972,The King of Marvin Gardens,drama
1972,Lady Sings the Blues,biography
1972,The Last House on the Left,horror
1972,Last of the Red Hot Lovers,comedy
1972,The Legend of Boggy Creek,mystery
1972,The Legend of Nigger Charley aka Legend of Black Charley,western
1972,The Life and Times of Judge Roy Bean,"western, biography"
1972,Limbo,drama
1972,Los Amigos,western
1972,The Magnificent Seven Ride,western
1972,The Man,drama
1972,Man of La Mancha,musical
1972,The Mechanic,action
1972,Melinda,drama
1972,Napoleon and Samantha,adventure
1972,Necromancy,horror
1972,The New Centurions,crime drama
1972,Night of the Lepus,horror
1972,"Now You See Him, Now You Don't","sci-fi, comedy"
1972,The Offence,drama
1972,One Is a Lonely Number,drama
1972,The Other,horror
1972,Pancho Villa,western
1972,Payday,drama
1972,Pete 'n' Tillie,"comedy, drama"
1972,Pink Flamingos,comedy
1972,"Play It Again, Sam",comedy
1972,Play It as It Lays,drama
1972,Pocket Money,"western, comedy"
1972,Portnoy's Complaint,"comedy, drama"
1972,The Poseidon Adventure,"disaster film, adventure"
1972,The Possession of Joel Delaney,horror
1972,Prime Cut,"drama, action"
1972,Private Parts,horror
1972,Rage,drama
1972,Red Sun,western
1972,A Reflection of Fear,drama
1972,The Revengers,western
1972,The Salzburg Connection,thriller
1972,Shaft's Big Score,crime drama
1972,Silent Running,sci-fi
1972,Sitting Target,drama
1972,Skyjacked,disaster film
1972,Slaughter,crime drama
1972,Slaughterhouse-Five,"sci-fi, drama"
1972,"Snoopy, Come Home",animated
1972,Snowball Express,family
1972,Sounder,drama
1972,The Summertime Killer,crime drama
1972,Super Fly,crime drama
1972,They Only Kill Their Masters,mystery
1972,The Thing with Two Heads,sci-fi
1972,Thumb Tripping,drama
1972,To Find a Man,drama
1972,Tomorrow,drama
1972,Travels with My Aunt,comedy
1972,Treasure Island,adventure
1972,Treasure Island,adventure
1972,Trouble Man,crime drama
1972,Ulzana's Raid,western
1972,Up the Sandbox,comedy
1972,The Visitors,drama
1972,The War Between Men and Women,comedy
1972,When the Legends Die,drama
1972,The Woman Hunter,mystery
1972,The Wrath of God,western
1972,You'll Like My Mother,horror
1973,40 Carats,romantic comedy
1973,Ace Eli and Rodger of the Skies,drama
1973,The All-American Boy,drama
1973,American Graffiti,comedy
1973,Ash Wednesday,drama
1973,The Baby,horror
1973,Badge 373,crime
1973,Bang the Drum Slowly,drama
1973,Battle for the Planet of the Apes,science fiction
1973,Black Caesar,crime drama
1973,Blackenstein,blaxploitation
1973,Blume in Love,romantic comedy
1973,Book of Numbers,crime
1973,The Boy Who Cried Werewolf,horror
1973,Breezy,romance
1973,Cahill U.S. Marshal,western
1973,The Candy Snatchers,exploitation
1973,Charley and the Angel,family
1973,Charley Varrick,crime drama
1973,Charlotte's Web,animated
1973,Cinderella Liberty,drama
1973,Class of '44,drama
1973,Cleopatra Jones,crime drama
1973,Coffy,crime drama
1973,Cops and Robbers,"crime, comedy"
1973,The Crazies,horror
1973,The Day of the Dolphin,drama
1973,A Delicate Balance,drama
1973,Detroit 9000,crime drama
1973,Dillinger,"biography, crime drama"
1973,The Doll Squad,drama
1973,The Don Is Dead,crime drama
1973,Don't Be Afraid of the Dark,horror
1973,Don't Play Us Cheap,comedy
1973,Electra Glide in Blue,crime drama
1973,Emperor of the North,drama
1973,Encounter with the Unknown,horror
1973,Enter the Dragon,martial arts
1973,Executive Action,docudrama
1973,The Exorcist,horror
1973,Five on the Black Hand Side,comedy
1973,Forced Entry,adult
1973,The Forgotten aka Don't Look in the Basement,horror
1973,The Friends of Eddie Coyle,crime drama
1973,Ganja & Hess,horror
1973,Godspell,musical
1973,The Golden Voyage of Sinbad,adventure
1973,"Happy Mother's Day, Love George",thriller
1973,Harry in Your Pocket,drama
1973,Heavy Traffic,animated
1973,Hell Up in Harlem,crime drama
1973,High Plains Drifter,western
1973,Idaho Transfer,sci-fi
1973,Invasion of the Bee Girls,sci-fi
1973,Jesus Christ Superstar,musical
1973,Jeremy,romance
1973,Jonathan Livingston Seagull,unknown
1973,Kid Blue,western
1973,The Last American Hero,biography
1973,The Last Detail,"comedy, drama"
1973,The Last of Sheila,mystery
1973,The Laughing Policeman,crime drama
1973,Lolly-Madonna XXX,drama
1973,The Long Goodbye,mystery
1973,Love and Pain and the Whole Damn Thing,drama
1973,Luther,"drama, biography"
1973,The Mack,crime drama
1973,The Mackintosh Man,thriller
1973,Magnum Force,crime drama
1973,Maurie,sports drama
1973,Mean Streets,drama
1973,Messiah of Evil aka Dead People,horror
1973,The Neptune Factor,sci-fi
1973,The No Mercy Man,action
1973,Oklahoma Crude,drama
1973,The Outfit,crime drama
1973,The Paper Chase,drama
1973,Paper Moon,comedy
1973,Papillon,adventure
1973,Pat Garrett and Billy the Kid,"western, biography"
1973,Please Don't Eat My Mother,comedy
1973,The Return of Charlie Chan,mystery
1973,Robin Hood,animated film
1973,The Roommates,thriller
1973,SSSSSSS,horror
1973,Save the Tiger,drama
1973,Scarecrow,drama
1973,Scorpio,thriller
1973,Scream Blacula Scream,horror
1973,Serpico,"crime, biography"
1973,The Seven-Ups,crime drama
1973,Shaft in Africa,action
1973,Shamus,crime drama
1973,Showdown,western
1973,Sisters,horror
1973,Slaughter's Big Rip-Off,blaxploitation
1973,Sleeper,sci-fi comedy
1973,Slither,crime
1973,Some Call It Loving,drama
1973,Soylent Green,science fiction
1973,The Spook Who Sat By the Door,drama
1973,Steelyard Blues,comedy
1973,The Sting,"crime, comedy"
1973,The Stone Killer,crime
1973,"Summer Wishes, Winter Dreams",drama
1973,Superdad,family
1973,Sweet Kill,thriller
1973,Terminal Island,action
1973,The Thief Who Came to Dinner,crime comedy
1973,The Three Musketeers,adventure
1973,Tom Sawyer,musical
1973,The Train Robbers,western
1973,Two People,drama
1973,Walking Tall,"crime, action"
1973,The Way We Were,romance
1973,The Werewolf of Washington,"horror, comedy"
1973,Westworld,science fiction
1973,White Lightning,action
1973,"Wicked, Wicked",horror
1973,The World's Greatest Athlete,family
1974,99 and 44/100% Dead,unknown
1974,Airport 1975,unknown
1974,Alice Doesn't Live Here Anymore,unknown
1974,All the Kind Strangers,unknown
1974,And Then There Were None,unknown
1974,The Arena,unknown
1974,Bank Shot,unknown
1974,Benji,unknown
1974,Beyond the Door,unknown
1974,Big Bad Mama,unknown
1974,Billy Two Hats,unknown
1974,Black Belt Jones,unknown
1974,Black Eye,unknown
1974,The Black Godfather,unknown
1974,Black Samson,unknown
1974,The Black Windmill,unknown
1974,Blazing Saddles,unknown
1974,Bring Me the Head of Alfredo Garcia,unknown
1974,Buster and Billie,unknown
1974,Busting,unknown
1974,California Split,unknown
1974,The Castaway Cowboy,unknown
1974,Chinatown,unknown
1974,Chosen Survivors,unknown
1974,Claudine,unknown
1974,The Conversation,unknown
1974,Crazy Joe,unknown
1974,The Crazy World of Julius Vrooder,unknown
1974,Dark Star,unknown
1974,Death Wish,unknown
1974,"Dirty Mary, Crazy Larry",unknown
1974,The Dove,unknown
1974,Down and Dirty Duck,unknown
1974,Earthquake,unknown
1974,F for Fake,unknown
1974,Female Trouble,unknown
1974,Flesh Gordon,unknown
1974,Foxy Brown,unknown
1974,Freebie and the Bean,unknown
1974,The Front Page,unknown
1974,The Gambler,unknown
1974,'Gator Bait,unknown
1974,The Girl from Petrovka,unknown
1974,The Godfather Part II,unknown
1974,Golden Needles,unknown
1974,Gone in 60 Seconds,unknown
1974,The Gravy Train,unknown
1974,The Groove Tube,unknown
1974,Harry and Tonto,unknown
1974,Herbie Rides Again,unknown
1974,The House on Skull Mountain,unknown
1974,Invasion from Inner Earth,unknown
1974,The Island at the Top of the World,unknown
1974,It's Alive,unknown
1974,The Klansman,unknown
1974,Lenny,unknown
1974,The Longest Yard,unknown
1974,The Lords of Flatbush,unknown
1974,Lovin' Molly,unknown
1974,Macon County Line,unknown
1974,Mame,unknown
1974,McQ,unknown
1974,The Midnight Man,unknown
1974,Mixed Company,unknown
1974,Mr. Majestyk,unknown
1974,Newman's Law,unknown
1974,The Nickel Ride,unknown
1974,Nightmare Honeymoon,unknown
1974,The Nine Lives of Fritz the Cat,unknown
1974,The Parallax View,unknown
1974,Phantom of the Paradise,unknown
